Virtual fleet for JAMES\ROSLYN	LT11		5m
Virtual fleet for JAMES\ROSLYN	LT4		6m
Virtual fleet for JAMES\ROSLYN	LT3		14m
Virtual fleet for JAMES\ROSLYN	CAMPO PROVIDENCIA		3h 53m
Virtual fleet for JAMES\ROSLYN	PG		3h 14m
Virtual fleet for JAMES\ROSLYN	PUERTO TALARA		1h 23m
Virtual fleet for JAMES\ROSLYN	Rio Amazonas		6m
Virtual fleet for JAMES\ROSLYN	Mc Donald		18m
Virtual fleet for JAMES\ROSLYN	PVX8		1h 6m
Virtual fleet for JAMES\ROSLYN	PV14		51m
Virtual fleet for JAMES\ROSLYN	PV15		12m
Virtual fleet for JAMES\SHEYLA	CAMPO PROVIDENCIA		2h 21m
Virtual fleet for JAMES\SHEYLA	PUERTO TALARA		1h 27m
Virtual fleet for JAMES\SHEYLA	Rio Amazonas		25m
Virtual fleet for JAMES\SHEYLA	PG		7h 9m
Virtual fleet for JAMES\SHEYLA	PV14		29m
Virtual fleet for JAMES\SHEYLA	PVX8		18m
Virtual fleet for JAMES\SHEYLA	PV15		5m
Virtual fleet for JAMES\SHEYLA	CAMPO LITORAL		1h 22m
Virtual fleet for JAMES\SHEYLA	LT12		3h 9m
Virtual fleet for JAMES\SHEYLA	3C		6m
Virtual fleet for JAMES\SHEYLA	3B		1h 13m
Virtual fleet for JAMES\SHEYLA	LT1		32m
Virtual fleet for JAMES\SHEYLA	LT2		3h 53m
Virtual fleet for JAMES\SHEYLA	LT4		7m
Virtual fleet for JAMES\SHEYLA	LT3		27m
Virtual fleet for JAMES\SHEYLA	LT6		18m
Virtual fleet for JAMES\SHEYLA	4D		16m
Virtual fleet for JAMES\SHEYLA	LT11		5m
Virtual fleet for JAMES\SHEYLA	3J		4m
Virtual fleet for JAMES\SKOOKUM	PUERTO TALARA		21h 59m
Virtual fleet for JAMES\SOPHIA C	PUERTO TALARA		23h 0m
Virtual fleet for JAMES\VILMA	LO7		14m
Virtual fleet for JAMES\VILMA	CAMPO LOBITOS		8h 48m
Virtual fleet for JAMES\VILMA	LO6		1h 8m
Virtual fleet for JAMES\VILMA	Flotante LO		7h 53m
Virtual fleet for JAMES\VILMA	LO4		8m
Virtual fleet for JAMES\VILMA	LO3		11m
Virtual fleet for JAMES\VILMA	CC		21m
Virtual fleet for JAMES\VILMA	LO14		1h 14m
Virtual fleet for JAMES\VILMA	LO10		1h 5m
Virtual fleet for JAMES\VILMA	LO8		13m
Virtual fleet for JAMES\VILMA	H		52m
Virtual fleet for JAMES\VILMA	LO9		5m
Virtual fleet for JAMES\VILMA	ZZ		28m
Virtual fleet for JAMES\VILMA	LO19		8m
Virtual fleet for JAMES\VILMA	LO16		20m
Virtual fleet for JAMES\VILMA	LO13		14m
Virtual fleet for JAMES\VILMA	LO18		25m
Virtual fleet for JAMES\VILMA	U		2m
Virtual fleet for JAMES\VILMA	A8		1m
Virtual fleet for JAMES\ZULUF	CAMPO PEA NEGRA		2h 59m
Virtual fleet for JAMES\ZULUF	CAMPO LOBITOS		1h 40m
Virtual fleet for JAMES\ZULUF	PUERTO TALARA		1h 0m
Virtual fleet for JAMES\ZULUF	CAMPO PROVIDENCIA		18h 15m
